Figure B: CPI 12-month inflation rate for the last 10 years: May 2005 to May 2015,
United Kingdom,
,
Notes,
Unit,%
,
,CPI
May-05,1.9
Jun-05,2
Jul-05,2.3
Aug-05,2.4
Sep-05,2.5
Oct-05,2.3
Nov-05,2.1
Dec-05,1.9
Jan-06,1.9
Feb-06,2
Mar-06,1.8
Apr-06,2
May-06,2.2
Jun-06,2.5
Jul-06,2.4
Aug-06,2.5
Sep-06,2.4
Oct-06,2.4
Nov-06,2.7
Dec-06,3
Jan-07,2.7
Feb-07,2.8
Mar-07,3.1
Apr-07,2.8
May-07,2.5
Jun-07,2.4
Jul-07,1.9
Aug-07,1.8
Sep-07,1.8
Oct-07,2.1
Nov-07,2.1
Dec-07,2.1
Jan-08,2.2
Feb-08,2.5
Mar-08,2.5
Apr-08,3
May-08,3.3
Jun-08,3.8
Jul-08,4.4
Aug-08,4.7
Sep-08,5.2
Oct-08,4.5
Nov-08,4.1
Dec-08,3.1
Jan-09,3
Feb-09,3.2
Mar-09,2.9
Apr-09,2.3
May-09,2.2
Jun-09,1.8
Jul-09,1.8
Aug-09,1.6
Sep-09,1.1
Oct-09,1.5
Nov-09,1.9
Dec-09,2.9
Jan-10,3.5
Feb-10,3
Mar-10,3.4
Apr-10,3.7
May-10,3.4
Jun-10,3.2
Jul-10,3.1
Aug-10,3.1
Sep-10,3.1
Oct-10,3.2
Nov-10,3.3
Dec-10,3.7
Jan-11,4
Feb-11,4.4
Mar-11,4
Apr-11,4.5
May-11,4.5
Jun-11,4.2
Jul-11,4.4
Aug-11,4.5
Sep-11,5.2
Oct-11,5
Nov-11,4.8
Dec-11,4.2
Jan-12,3.6
Feb-12,3.4
Mar-12,3.5
Apr-12,3
May-12,2.8
Jun-12,2.4
Jul-12,2.6
Aug-12,2.5
Sep-12,2.2
Oct-12,2.7
Nov-12,2.7
Dec-12,2.7
Jan-13,2.7
Feb-13,2.8
Mar-13,2.8
Apr-13,2.4
May-13,2.7
Jun-13,2.9
Jul-13,2.8
Aug-13,2.7
Sep-13,2.7
Oct-13,2.2
Nov-13,2.1
Dec-13,2
Jan-14,1.9
Feb-14,1.7
Mar-14,1.6
Apr-14,1.8
May-14,1.5
Jun-14,1.9
Jul-14,1.6
Aug-14,1.5
Sep-14,1.2
Oct-14,1.3
Nov-14,1
Dec-14,0.5
Jan-15,0.3
Feb-15,0
Mar-15,0
Apr-15,-0.1
May-15,0.1
